                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.86357,                0.70158,                 1.0493,                0.90576,                0.77599,                0.88573,                0.71971,                0.71632,                0.51788,                0.92697,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.88139,                0.71572,                 1.0487,                0.91116,                0.77735,                0.88587,                0.72242,                0.70934,                0.51241,                0.92386,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.86294,                0.71626,                 1.0494,                0.88966,                 0.7957,                0.89038,                 0.7249,                 0.7063,                0.51076,                0.92326,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.82751,                0.66746,                 1.0239,                0.88765,                0.80234,                0.88709,                 0.7252,                0.70541,                 0.5079,                0.92291,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.86549,                0.68658,                 1.0172,                0.88472,                0.80411,                0.89052,                0.72689,                0.70626,                0.50718,                0.92349,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.87487,                0.73357,                 1.0784,                0.87281,                0.81518,                0.88949,                0.72928,                 0.7074,                0.50374,                0.92399,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 0.8439,                0.70603,                  1.031,                0.90896,                0.79306,                0.88991,                0.72994,                0.70483,                0.50149,                0.92294,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.86096,                 0.6958,                 1.0213,                0.91152,                0.79411,                0.88909,                0.73177,                0.70189,                0.49979,                0.92216,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.84978,                 0.6862,                 1.0384,                0.90773,                0.79442,                0.89009,                0.72885,                0.69752,                0.49675,                0.92081,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.85216,                0.69455,                 1.0308,                0.90471,                0.79555,                0.89128,                0.73105,                0.69441,                0.49643,                0.91945,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.82148,                0.68223,                 1.0292,                0.90482,                0.80177,                0.89406,                0.73624,                 0.6919,                0.49571,                0.91854,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85162,                0.70502,                 1.0479,                0.88909,                0.80385,                0.89226,                0.73727,                0.68994,                0.49411,                0.91797,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.87911,                0.70423,                 1.0436,                0.85401,                0.83136,                 0.8905,                0.73609,                0.68889,                0.49402,                0.91763,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.82963,                0.68482,                 1.0277,                0.91007,                0.79631,                0.89346,                0.73708,                0.68641,                0.49522,                0.91626,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.80777,                0.66898,                  1.033,                 0.8502,                 0.8434,                0.89356,                0.73644,                0.68445,                0.49367,                0.91568,             2.7108e-05,             2.7108e-05,             2.7108e-05
