                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.79978,                0.65976,                 1.0197,                0.89574,                0.84639,                0.90456,                0.75733,                0.69612,                0.49567,                0.91341,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.81045,                0.68479,                 1.0219,                0.90057,                0.83043,                0.89908,                0.75658,                0.69573,                0.49281,                0.91262,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.80388,                0.65999,                 1.0089,                 0.9214,                0.83452,                0.90601,                 0.7572,                0.69769,                0.49097,                0.91213,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.79466,                0.66478,                 1.0001,                0.91097,                0.84909,                0.90898,                0.75773,                0.69934,                0.49386,                0.91192,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.80685,                0.64213,                 1.0075,                0.91802,                0.85203,                0.90966,                0.75937,                 0.6962,                0.49415,                0.91116,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.78239,                0.65052,                 1.0108,                0.92179,                0.83797,                0.90296,                0.75716,                0.69018,                0.49156,                0.90983,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.80728,                0.65626,                 1.0154,                0.92474,                0.83491,                0.90245,                0.75688,                0.68402,                0.49005,                0.90707,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.78177,                0.65805,                  1.001,                 0.9233,                0.83708,                0.90109,                0.76621,                 0.6792,                0.48632,                 0.9054,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.76809,                0.62362,                0.99137,                0.92143,                0.84602,                0.91058,                0.76495,                0.67914,                0.48742,                0.90413,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.80663,                0.65862,                 1.0161,                0.92125,                0.84717,                0.90912,                 0.7639,                0.68135,                0.48815,                0.90426,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.77441,                0.64825,                 1.0105,                0.92119,                0.85499,                0.91075,                 0.7655,                0.68049,                0.48653,                0.90335,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.77192,                 0.6297,                 1.0009,                0.91516,                0.85624,                0.91238,                0.76773,                0.67674,                 0.4807,                0.90177,             5.5383e-05,             5.5383e-05,             5.5383e-05
