                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.85134,                0.72801,                 1.0464,                0.91239,                0.79401,                0.87617,                0.72571,                0.74321,                0.54143,                0.93526,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.85787,                0.72727,                 1.0382,                0.90105,                 0.8069,                0.87791,                0.72854,                0.73895,                0.54303,                0.93428,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.82917,                0.70398,                 1.0417,                0.90409,                0.81067,                0.87846,                0.72839,                0.73684,                0.54601,                0.93299,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.87488,                0.75225,                 1.0408,                0.89444,                0.81492,                0.87811,                0.73274,                0.73335,                0.54605,                0.93175,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81832,                0.69818,                 1.0297,                0.89752,                0.81439,                0.87837,                0.73402,                0.73095,                0.54528,                 0.9311,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.85888,                0.72041,                 1.0383,                0.90517,                0.81219,                0.87877,                0.73852,                0.72897,                0.54275,                0.93023,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.82932,                0.69239,                 1.0239,                0.90812,                 0.8072,                0.87894,                0.73711,                0.72633,                0.53794,                0.92879,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                 0.8264,                0.68085,                 1.0443,                0.90542,                0.80481,                0.87986,                  0.738,                0.72333,                 0.5335,                0.92782,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.79867,                0.67602,                 1.0283,                0.91924,                0.78968,                0.87843,                0.73982,                0.72105,                0.53065,                0.92719,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.84965,                 0.7182,                 1.0315,                0.92098,                0.78783,                0.87911,                0.73966,                0.72069,                0.52932,                0.92618,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.84294,                0.69678,                 1.0467,                0.92379,                0.79143,                0.88124,                0.74046,                0.72087,                0.52672,                0.92504,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85005,                0.68301,                  1.036,                0.92256,                0.79371,                0.88269,                0.74156,                0.71944,                0.52523,                0.92388,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.85653,                0.69651,                 1.0218,                0.92377,                0.79183,                 0.8839,                0.74305,                0.71721,                0.52551,                0.92339,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83525,                0.70174,                 1.0278,                0.87185,                 0.8225,                0.88055,                0.74496,                0.71726,                0.52568,                0.92294,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.83341,                0.69785,                 1.0334,                0.87526,                0.82622,                  0.881,                0.74204,                0.71726,                0.52487,                 0.9226,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.84784,                0.70161,                 1.0367,                0.87564,                0.82723,                0.88225,                0.74309,                 0.7175,                0.52512,                0.92246,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.83657,                0.69768,                 1.0277,                0.87019,                0.82901,                0.88211,                0.74393,                0.71616,                0.52369,                0.92188,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.82842,                0.68459,                 1.0263,                 0.8768,                0.82361,                0.88138,                0.74294,                0.71495,                0.52276,                0.92127,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.83435,                0.67967,                 1.0293,                0.88783,                0.81521,                0.88186,                0.74159,                0.71341,                0.52138,                0.92108,             2.2396e-05,             2.2396e-05,             2.2396e-05
