                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.84101,                0.70646,                 1.0299,                0.85814,                0.80326,                0.87248,                0.71585,                 0.7224,                0.52948,                0.92779,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.94573,                0.74518,                 1.0525,                0.82431,                0.82514,                0.87244,                0.71577,                0.72199,                0.52722,                0.92793,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.87801,                0.74547,                 1.0541,                0.84435,                0.82254,                0.87588,                0.71606,                0.72141,                0.52859,                0.92738,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.85985,                0.71609,                 1.0262,                0.83497,                0.83403,                0.87537,                0.71869,                0.71812,                0.52743,                0.92645,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.90073,                0.75567,                 1.0817,                0.83828,                0.82295,                0.87201,                0.72115,                0.71626,                0.52086,                  0.925,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.87993,                0.72417,                 1.0427,                0.84436,                0.83484,                0.87915,                0.72273,                0.71736,                0.51551,                0.92495,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.91015,                0.73865,                 1.0596,                0.83901,                0.83434,                0.87716,                0.72263,                0.71422,                0.51267,                 0.9238,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                 0.8397,                 0.7015,                 1.0255,                0.86667,                0.81869,                0.87843,                  0.729,                0.70762,                0.50895,                0.92056,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 0.8649,                0.70005,                 1.0354,                0.90072,                0.79793,                  0.879,                0.73471,                0.70535,                0.50604,                0.91941,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.83817,                0.68666,                 1.0339,                0.90072,                0.79919,                0.88248,                0.73899,                0.70077,                0.50129,                0.91781,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.84805,                0.68356,                 1.0316,                   0.92,                0.78845,                0.88135,                0.73603,                0.69614,                0.49874,                0.91612,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.83535,                0.67701,                  1.035,                0.90155,                0.80372,                0.88359,                0.73842,                0.69259,                0.49681,                0.91374,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.79829,                0.64243,                 1.0072,                0.90604,                0.80511,                0.88207,                0.73583,                0.69381,                0.49613,                 0.9132,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.84325,                0.67403,                 1.0019,                0.90214,                 0.8096,                0.88595,                0.74006,                0.69475,                0.49587,                0.91239,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.84257,                0.69977,                 1.0562,                0.91047,                0.80681,                0.88567,                0.74057,                0.69233,                0.49429,                0.91107,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.80574,                0.66414,                 1.0138,                0.91125,                0.80538,                0.88598,                 0.7391,                0.68865,                0.49046,                0.90941,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.83085,                0.66318,                 1.0127,                0.88849,                0.81676,                0.88582,                0.73983,                0.68722,                0.48627,                0.90845,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.83217,                0.67249,                 1.0263,                0.91167,                0.80237,                0.88663,                0.74161,                0.68242,                0.48286,                0.90661,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.83441,                0.68328,                 1.0223,                0.86838,                0.83246,                0.88941,                0.74168,                 0.6804,                0.48018,                0.90586,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.80541,                0.66406,                 1.0213,                0.87228,                 0.8312,                0.88856,                0.74253,                0.67958,                0.48014,                0.90597,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.82289,                0.68697,                 1.0291,                0.90179,                0.81302,                0.89124,                0.74535,                0.67826,                0.47976,                0.90561,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.84715,                0.68088,                 1.0232,                0.91102,                0.81534,                0.89027,                0.74537,                0.67596,                0.48066,                0.90492,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.81348,                0.66889,                 1.0147,                 0.9018,                0.82301,                0.88887,                 0.7452,                0.67464,                0.48189,                0.90454,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.77885,                0.64575,                 1.0121,                0.90288,                0.82462,                0.89026,                0.74572,                0.67213,                0.48021,                0.90445,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.81536,                0.67755,                 1.0185,                0.90863,                0.82286,                0.88946,                0.74932,                0.67057,                0.47961,                0.90476,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.81301,                0.65931,                 1.0199,                0.90858,                0.81726,                 0.8899,                0.75161,                0.66892,                0.47869,                0.90435,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.79796,                0.65854,                 1.0117,                0.90106,                0.82166,                0.89272,                0.75548,                0.66575,                0.47664,                0.90311,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.77522,                0.67092,                 1.0189,                 0.9005,                0.80879,                0.88576,                0.75401,                0.66376,                0.47441,                0.90169,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 0.8064,                0.66647,                 1.0108,                0.90329,                0.80822,                0.88659,                0.75409,                0.66092,                0.47337,                0.90148,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.79728,                0.64775,                 1.0118,                0.89531,                0.81496,                0.88632,                0.75367,                0.66005,                 0.4747,                0.90101,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.81275,                0.66959,                 1.0108,                0.89514,                0.81471,                0.88741,                0.75518,                0.65919,                0.47454,                0.90005,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.82536,                0.66236,                 1.0174,                0.91093,                0.81886,                0.89429,                0.75533,                0.65747,                0.47269,                 0.8992,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.82544,                0.65609,                0.99583,                0.90859,                0.82086,                0.89487,                0.75263,                0.65549,                0.47042,                0.89867,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.78567,                0.65818,                 1.0175,                0.90383,                0.82283,                0.89426,                0.75511,                 0.6523,                 0.4682,                0.89779,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.82886,                0.71187,                 1.0124,                0.90518,                0.81575,                0.89273,                0.75396,                0.65497,                0.46924,                0.89775,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.84413,                 0.7173,                 1.0085,                0.89497,                0.82502,                0.89394,                0.75302,                0.65697,                0.47092,                0.89762,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.80867,                0.65379,                0.99604,                0.87029,                0.83493,                0.89364,                0.75151,                0.65716,                0.47092,                0.89773,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.83687,                0.68062,                0.99905,                0.86081,                 0.8338,                 0.8879,                0.74942,                0.66246,                0.47499,                0.89918,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.78619,                0.61236,                0.98149,                0.85794,                0.83134,                0.88664,                0.74858,                0.66621,                0.47722,                0.89992,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.79304,                0.63792,                 0.9896,                0.85994,                0.83104,                0.88598,                0.75109,                0.66975,                0.47715,                0.90098,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.78345,                0.60574,                0.97349,                0.87413,                 0.8217,                0.88222,                0.74715,                0.67105,                0.47827,                0.90159,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.78876,                  0.621,                 0.9841,                0.85718,                0.83666,                0.88269,                0.74775,                0.67156,                0.47811,                0.90184,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.76746,                0.61519,                0.96234,                0.87045,                0.82126,                0.88265,                0.74565,                0.67261,                0.47807,                0.90214,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.82004,                0.64396,                  0.996,                0.88793,                0.81271,                0.88279,                0.74702,                0.67514,                0.47748,                0.90273,             3.5462e-06,             3.5462e-06,             3.5462e-06
