                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.99371,                0.86336,                 1.0959,                0.86242,                0.76706,                0.84028,                0.66506,                0.84476,                0.62607,                 0.9989,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.97702,                0.79323,                 1.0867,                0.84551,                0.77347,                0.84423,                0.66738,                0.83291,                0.61421,                0.99375,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.91899,                0.80009,                 1.1023,                0.84482,                0.78141,                0.84579,                 0.6734,                0.82153,                0.60126,                0.99039,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 1.0248,                0.83717,                 1.1137,                0.86202,                0.77643,                0.85048,                0.68119,                0.81246,                0.60237,                0.98636,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.91564,                  0.789,                 1.0635,                0.85049,                0.78143,                0.85428,                0.68231,                0.81584,                0.59928,                0.98612,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.92591,                0.78389,                 1.0626,                0.81847,                0.79596,                0.85352,                0.68131,                0.82974,                0.60095,                0.98856,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.95686,                0.80488,                 1.0911,                0.82766,                0.78635,                0.85252,                 0.6774,                0.82532,                0.60069,                0.98684,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.91527,                 0.7988,                 1.0677,                0.83159,                0.80293,                0.85567,                0.68272,                0.80786,                0.59077,                0.97887,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.88515,                0.76206,                 1.0568,                0.82464,                0.80559,                0.85462,                0.68421,                0.80072,                0.58268,                  0.974,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.91787,                0.77976,                 1.0982,                0.82822,                0.80658,                 0.8553,                0.69114,                0.79449,                0.57047,                0.97046,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.89422,                0.74962,                 1.0582,                0.83757,                0.78986,                 0.8598,                0.69264,                0.79201,                0.56522,                 0.9688,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.99233,                0.78507,                 1.0772,                0.87307,                0.76938,                 0.8586,                0.69227,                0.79185,                0.56681,                0.96817,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 0.9271,                0.79698,                 1.0849,                0.87898,                0.76091,                0.86093,                0.69499,                0.78302,                0.56419,                0.96555,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.90977,                0.74621,                  1.046,                0.88185,                0.76124,                0.86251,                0.69537,                0.77467,                0.56088,                0.96223,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.93545,                 0.8182,                 1.1001,                0.87871,                0.77175,                0.86504,                0.69593,                 0.7695,                 0.5571,                0.95894,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                 0.9419,                0.77251,                 1.0768,                0.88408,                0.77818,                0.86669,                0.69788,                0.76888,                0.55505,                0.95798,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.96875,                0.78799,                 1.0884,                 0.8905,                0.78381,                0.86864,                  0.704,                0.76587,                0.55227,                0.95857,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.89518,                0.75338,                 1.0569,                0.89295,                0.78128,                0.86844,                0.70995,                0.76689,                0.54742,                0.95946,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.90197,                0.72907,                  1.052,                0.88503,                0.77988,                0.86774,                0.71007,                0.76705,                0.54579,                0.95902,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.88511,                0.72138,                 1.0618,                0.88553,                0.78147,                0.86853,                0.70928,                0.76223,                 0.5424,                0.95576,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.89917,                0.71709,                 1.0556,                0.90441,                0.77178,                0.86925,                0.71236,                0.75482,                0.53707,                0.95256,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.88355,                0.72229,                 1.0641,                0.88962,                0.78566,                0.87151,                0.71496,                0.74796,                 0.5327,                 0.9505,             4.1245e-05,             4.1245e-05,             4.1245e-05
